Data_Medicao;Precipitacao_total_diario(AUT)(mm);Pressao_atmosferica_media_diario(AUT)(mB);Temperatura_ponto_orvalho_media_diario(AUT)(°C);Temperatura_maxima_diario(AUT)(°C);Temperatura_minima_diario(AUT)(°C);Umidade_relativa_do_ar_media_diario(AUT)(%);Vento_velocidade_media_diario(AUT)(m/s)
27/01/2010;51,8;923,3;18;29,4;17,8;75,7;2
28/01/2010;3,6;923,7;19,2;27,7;21;83,7;1,4
29/01/2010;46,2;924,8;18,4;24,2;19,6;84,1;1,7
30/01/2010;6,2;927,3;18,6;26,3;20,3;81,5;1,3
31/01/2010;0;927,6;18,5;31,7;20,5;76;1,5
01/02/2010;1;927,6;17;33,2;18,9;70;1,3
02/02/2010;34,2;927;16,8;33,8;18,9;68,3;1,4
03/02/2010;6,2;925,8;17,9;32,7;19,7;71,8;1,5
04/02/2010;84,2;925,5;18,8;32,8;19;74;1,4
05/02/2010;12,8;925,2;17,5;33,4;20,4;65,7;1,4
06/02/2010;17,8;924,3;17,3;33,2;20,3;64,5;1,9
07/02/2010;4;924,2;16,6;32,4;20,7;59,9;1,8
08/02/2010;0;923,3;16,1;31,5;22,5;53,9;2,5
09/02/2010;0;921,6;15,9;30,9;23,2;54,8;2,5
10/02/2010;0;923,3;17,4;28,4;21,1;68,9;2,5
11/02/2010;1,4;924,9;17,9;30,3;20,7;71,8;2,1
12/02/2010;20,6;926,8;18,4;32,4;18,8;71;1,5
13/02/2010;0;926,9;17,4;33,4;21,7;62,4;1,7
14/02/2010;0;925,9;15,6;33,6;21,5;54,1;1,9
15/02/2010;0;924,2;16;33,4;22,7;50,8;1,9
16/02/2010;0;923,9;16,8;31,8;23;53,2;2,8
17/02/2010;0;925,3;16,9;30,6;23,3;64;1,7
18/02/2010;60;927,6;18,9;26,2;19,1;82,5;2,1
19/02/2010;0,4;929,1;18,3;26,6;20,7;76;2,6
20/02/2010;0;928,7;17,4;30,3;20,3;69,5;2
21/02/2010;0;926,2;17,4;32,1;20,6;61,8;1,7
22/02/2010;0;924,3;18;32,5;22,1;62;2,1
23/02/2010;2;923,1;17,8;32,9;22,3;60,3;2,1
24/02/2010;2;923,7;18,6;31,4;22,8;66,1;2
25/02/2010;31,2;925,8;18,6;24,1;19,3;87;2,4
26/02/2010;10,4;927,1;14,7;23;17,8;74,2;2,9
27/02/2010;0;926,8;15,6;26;18;73,7;3,5
28/02/2010;0;926,3;17;22,4;19,3;84,4;2,5
01/03/2010;33,2;926,9;16,2;19,1;16,1;89,5;3,8
02/03/2010;3,8;926,5;15,4;20,8;16,3;82,6;3,4
03/03/2010;1;925,7;16,5;22,7;16,8;83,8;2,2
04/03/2010;3,8;925,6;18,3;24,7;19,2;84,1;2,3
05/03/2010;0;924,6;17,7;24,9;18,9;80,1;2,4
06/03/2010;21;922,1;16,6;21,3;16,2;86,6;2
07/03/2010;21,4;920,7;14,6;28,1;17;71,8;2
08/03/2010;0;921;15;29,1;17;67,7;2,1
09/03/2010;0;922,6;13,8;30,1;18,6;57;2,1
10/03/2010;0;921,7;14;31,1;20,1;51,1;2,1
11/03/2010;0;920,5;14;31;21,7;48,1;2,4
12/03/2010;0;921;14,6;32,4;23,3;48;2,5
13/03/2010;0;922,6;16,4;32,1;22,1;56,3;2
14/03/2010;0;923,9;17;30,7;23,3;61,6;2,8
15/03/2010;18,8;925,9;17,6;27,1;19,1;73,8;3,2
16/03/2010;0,2;929,1;16,6;27,6;20,4;68,3;2,3
17/03/2010;0;930,4;15,9;24,7;18,5;74,4;3,5
18/03/2010;0;929,4;16,2;27,8;17,9;74,1;2,9
19/03/2010;0;927,8;17,3;31,1;19,6;73,5;2,3
20/03/2010;8,6;924,8;16;31,1;18,4;65,6;1,9
21/03/2010;7,2;920,7;17,5;28,6;19,5;73,3;2
22/03/2010;0;920,9;17,7;30,7;19,9;70,9;2,3
23/03/2010;0,4;924,7;17,5;30,8;20,6;67;1,9
24/03/2010;0;925,8;18,9;32,9;20,8;71,2;2,1
25/03/2010;0;926,6;18,8;30,9;21,3;78,4;1,6
26/03/2010;22,4;927,3;19,1;29,4;19,9;80,8;1,9
27/03/2010;5,6;926,6;18,8;30;20,3;77,6;1,8
28/03/2010;2,6;925,2;18,8;29,4;20,6;79,8;1,9
29/03/2010;3;924;18,3;29,5;20,4;75,3;1,9
30/03/2010;28,8;925,1;18,5;28;19,3;79,8;1,9
31/03/2010;0,6;926,3;17,4;27;19,6;76,9;2,3
01/04/2010;0,2;926,4;17;26,1;18,8;76,3;2,8
02/04/2010;0;926,4;17;27,5;19;74,6;2,7
03/04/2010;5,2;926,1;18,8;23,5;19,7;87,5;1,8
04/04/2010;46,8;924,7;19,3;27,5;19,4;84,5;1,7
05/04/2010;10,6;926,6;17,7;21,5;19,3;89,4;2,7
06/04/2010;4,6;926,4;13,9;17,4;15,9;90;3
07/04/2010;21,2;926;12,3;19,6;13,2;82,3;2,8
08/04/2010;2,8;927,5;11,5;20,5;13,8;75,9;3,4
09/04/2010;1,8;930,5;12,7;19,3;14,4;81,1;2,5
10/04/2010;3,4;930,9;13,1;21,1;14;81;2,2
11/04/2010;0;930,1;13,3;23;14;76,5;2,2
12/04/2010;0;930;13,2;24;14,4;75,1;2,5
13/04/2010;0;931,4;13,9;25,4;15,6;72,9;3
14/04/2010;0;931,6;14,2;26;16,3;71,9;2,9
15/04/2010;0;928,8;14,3;27,5;17,7;66,8;2,3
16/04/2010;0;927,4;13,5;28,5;17,7;60,4;1,5
17/04/2010;0;928,7;12,7;29;18,2;55,9;1,9
18/04/2010;0;930,4;12,1;26,7;17;60;2,5
19/04/2010;0;928,5;13,3;29;16;63,3;1,9
20/04/2010;0;925,9;13,2;29,1;17,4;56;1,3
21/04/2010;0;925;14,1;29,9;19;55;1,9
22/04/2010;0;924,3;15,2;29,8;20,5;57,3;1,7
23/04/2010;0;925,4;16,1;26,9;22,2;65,7;1,6
24/04/2010;19,6;928,5;17,6;23;17,9;83,8;2,1
25/04/2010;0;927,3;18,5;30,2;19,7;76,9;2
26/04/2010;0;925;16,1;29,3;19,7;64,8;1,9
27/04/2010;0;926;15,9;25,2;21,5;69,5;1,9
28/04/2010;2;929,1;15,9;24;18;80,1;2,1
29/04/2010;0;929,7;14,7;21,8;16,9;79;2,7
30/04/2010;0;928,4;13,2;23,3;16;72,5;2,5
01/05/2010;0;928,1;11,8;23,9;14,3;70,8;1,2
02/05/2010;0;928,4;12,7;26,8;14,4;70,4;1,7
03/05/2010;0;928,2;13,3;28,5;15,1;67;1,8
04/05/2010;0;926,1;13,4;27,8;16,8;60,4;2
05/05/2010;0;924,7;14,7;27,7;18,4;63,6;1,7
06/05/2010;0,4;926,9;15,7;28,2;17,3;70,8;1,5
07/05/2010;0;927,5;14,5;30,8;17,2;66,2;1,7
08/05/2010;0;925,8;16,5;23,9;19;78,6;2
09/05/2010;36,8;927,8;14,2;18,1;15;87;2,6
10/05/2010;1,6;928,5;11,8;19,5;13,1;80,8;2,6
11/05/2010;0,2;925,7;11,5;21,6;13,4;73,6;1,6
12/05/2010;0;923,5;7,9;18,4;12,3;65,2;3,1
13/05/2010;0;926,6;7,9;20,1;11,4;62,8;2,7
14/05/2010;0,6;929,6;12,9;21;13,1;81,5;1,5
15/05/2010;0,2;928,4;13,1;25,2;14,9;75,8;2,2
16/05/2010;0;927,1;11;26,4;13,7;64;1,2
17/05/2010;0;928,8;13,5;21,2;15,9;75,6;1,9
18/05/2010;0;927;14,9;22,5;16,2;78,9;2,6
19/05/2010;9;924,4;15,6;20,7;17,2;86,8;1,8
20/05/2010;11;925,5;9,6;18,4;12,8;70,5;2,4
21/05/2010;0;926,2;11,7;19,8;13,1;77;1,6
22/05/2010;0;925,8;13,2;22,8;14,1;77,3;1,5
23/05/2010;0,2;926,1;14,5;21,4;15;84,3;1,2
24/05/2010;0,2;925,5;14,7;23,6;15,1;80,8;2,1
25/05/2010;0;926,2;15,9;26;16,2;75,8;1,9
26/05/2010;0;929,7;14,8;23,1;18,2;74,8;1,9
27/05/2010;2,2;932,7;13;20,1;15,2;79,3;2,7
28/05/2010;2;931,2;13,3;20,7;14,6;82,3;1,9
29/05/2010;0,2;928,7;13,7;23,9;14,9;76,8;2,3
30/05/2010;0;926,4;12,4;26;15,1;65,8;2,2
31/05/2010;0,2;927,9;11;22,8;15,9;67,6;3,3
01/06/2010;0,6;932,8;10,8;16,1;12,8;81,7;2,7
02/06/2010;0,4;931,9;11;19,9;12,7;77,3;3,4
03/06/2010;0;933,1;12;20,5;14,1;75,5;2,9
04/06/2010;0;930,6;12,5;22,7;14,3;73,5;2,7
05/06/2010;10,6;926;13,4;21,8;16;77,3;2,7
06/06/2010;0;929,5;5,4;20,1;10,8;57;1,5
07/06/2010;0;931,2;5;21,3;8,7;59,5;1
08/06/2010;0;932,3;8,5;19,9;9,2;71,9;1,8
09/06/2010;0;933;10,2;20,2;11,7;74,6;2,6
10/06/2010;0,4;932,1;12,2;19,9;13,8;81,8;2,1
11/06/2010;0,2;933,9;10,4;17,6;12,7;77,7;2,3
12/06/2010;0,4;935,6;9,1;16,5;11,4;78,8;3,1
13/06/2010;0,2;933;7,6;18,1;8,9;74,1;2,8
14/06/2010;0;931;9,2;20,9;10,8;73,5;2,4
15/06/2010;0;930,2;9;23,1;10,2;67,9;1,2
16/06/2010;0;929;7,9;24,2;10,9;57,3;1,6
17/06/2010;0;927,7;7,7;26,6;15,8;44,2;2,1
18/06/2010;0;927,8;9,7;26,7;14;56,8;1,2
19/06/2010;0;925,1;8,4;27,1;14,5;50,5;2,1
20/06/2010;0;924,3;6,2;27,6;19,1;34,6;2,6
21/06/2010;0;925,5;13;23,5;15,7;70,9;1,6
22/06/2010;0;928,3;13,5;17,2;15;88,7;1,8
23/06/2010;2,2;931,3;12,4;20;13,5;82,6;2,6
24/06/2010;0;931,1;13,8;25,1;13,7;79,3;2,3
25/06/2010;0;932,5;13,2;27,9;13,9;70,5;1,2
26/06/2010;0;932,4;12,7;23,5;14,2;72,3;1,7
27/06/2010;0;931,6;9,9;24;12,6;67;1,9
28/06/2010;0;932,4;8,4;24,4;12,6;55,1;0,9
29/06/2010;0;932,9;12,3;21,8;14,7;74,5;2,4
30/06/2010;0;932,7;11,1;25;11,8;72,9;1,7
01/07/2010;0;932,3;10;23,7;10,9;69,5;1,6
02/07/2010;0;932;10,7;24,2;12;72,5;2,1
03/07/2010;0;932,1;11,3;24,4;11,5;75,6;1,2
04/07/2010;0,2;931,6;11,6;22,9;12,4;77,2;2,2
05/07/2010;0;931,3;10,7;25,5;13,2;69;2,3
06/07/2010;0;930,8;11,2;26,8;12,7;67,2;1,8
07/07/2010;0;929,3;10,1;24,5;13,4;61,5;1,3
08/07/2010;0;929,4;7,2;24,8;13,9;49,2;1,4
09/07/2010;0;930,1;12,3;25,3;15,1;70,8;1,5
10/07/2010;0;930,8;13,1;21,5;15,8;76;2,3
11/07/2010;0;927,6;13,3;26;16;70,5;2,2
12/07/2010;0;924,5;12,2;27,9;15,7;60,2;1,9
13/07/2010;0,4;923,9;13,7;22,4;17,7;74,6;2,3
14/07/2010;40,6;929,1;11,9;14,7;13;92,6;2
15/07/2010;30,8;932,2;12,5;15,3;12;93,2;2,4
16/07/2010;14,6;936,4;12,8;14,9;13,2;92,6;2,5
17/07/2010;1,8;937,1;13,5;19,6;13,3;87,2;3
18/07/2010;0,2;934,6;15,1;22,1;15,8;85,3;2,3
19/07/2010;0;931;13,8;26;15,8;73,9;2,7
20/07/2010;0;930,1;13,6;26,6;14,6;70,6;1,6
21/07/2010;0;930,4;13,2;27,1;15,9;65,2;1,7
22/07/2010;0;928,7;10,6;28,1;15,9;50;2,1
23/07/2010;0;932,1;12,9;28;16,8;65,5;1,8
24/07/2010;0;934,3;14,7;23,4;16,6;78,4;3,1
25/07/2010;0;932,5;11,2;25;15,1;65,1;2,2
26/07/2010;0;931,2;9,3;26;15,2;55,3;1,7
27/07/2010;0;933,7;13,3;18,7;15,6;82,1;2,4
28/07/2010;0;934,2;13;22,7;15;74,3;2,9
29/07/2010;0;932;12,7;26,5;16,5;64,5;2
30/07/2010;0;929,3;10,5;26,1;17,5;52,2;2
31/07/2010;0;926,4;8,6;26,8;15,4;47,7;1,9
01/08/2010;0;926,7;11,3;23,7;15,8;62,5;1,9
02/08/2010;0,2;931,3;13,5;17,8;15,2;84,8;2,6
03/08/2010;0;932,6;11,7;15,3;13,5;85;2,6
04/08/2010;0,2;933;10,8;13,9;11,7;88,3;2,4
05/08/2010;0,2;932,5;10,7;17,4;10,5;84,8;2,2
06/08/2010;0;931,9;8,2;17,3;11,3;72;2,3
07/08/2010;0;930,8;9,7;23,2;11,2;72,9;2,1
08/08/2010;0,2;929,2;8,7;26,7;11,2;62,3;1,4
09/08/2010;0;930,7;10;19,5;13,5;70;1,7
10/08/2010;0;933,6;11,4;18,9;13,1;79,5;2,6
11/08/2010;0;933,9;11,6;20,8;13,4;78,2;3,3
12/08/2010;0;931,1;11,2;26,3;13,7;66,5;3
13/08/2010;0;928;8,3;26,6;15,2;45;3,2
14/08/2010;0;930;9,1;23,3;11,8;75,8;2,4
15/08/2010;0;932,3;6,7;13,8;9,7;75,9;2,7
16/08/2010;0,6;934,5;6,2;17,3;8,7;71,5;2,7
17/08/2010;0;934,9;7,6;19;9,6;71,8;3,3
18/08/2010;0;933,8;6,8;20,9;9,7;65,5;2,9
19/08/2010;0;931;5,6;25,3;9,8;54,2;1,7
20/08/2010;0;929,9;5;27;11,8;45,4;1
21/08/2010;0;931,8;8,6;26,5;12,6;59,1;1,6
22/08/2010;0;931,3;7,2;27,9;13,6;47,3;1,8
23/08/2010;0;928,9;5,6;29,4;14,1;39,6;1,3
24/08/2010;0;927,6;5,3;29,7;15,1;36,2;1,7
25/08/2010;0;927,9;4,8;31,3;15,9;33,5;1,1
26/08/2010;0;927,6;4,8;30,5;16,6;33,1;1,1
27/08/2010;0;926,9;4,4;31,2;16,5;34;1,3
28/08/2010;0;927,4;11,5;29,6;14,3;66,3;1,5
29/08/2010;0;927,6;10,2;31;13,3;60,2;1,7
30/08/2010;0;929,9;12,8;24,2;14,9;73,6;2,2
31/08/2010;0;929,8;12,1;28,9;15,2;63,6;2,7
01/09/2010;0;929,8;9,1;29,7;16,9;47;1,9
02/09/2010;0;930,5;7,5;30,4;16,1;39,8;1,2
03/09/2010;0;929,2;7,3;31,5;17,1;37,3;1,2
04/09/2010;0;926,2;6,4;31,1;17,3;36,3;2,2
05/09/2010;0;929,2;10,8;26,5;16,1;67,6;2,6
06/09/2010;0;933,8;11,7;16,8;13;83,8;3
07/09/2010;5,4;932,3;14;17,7;14,6;89,4;1,5
08/09/2010;9,4;931,1;13;18,6;14;84,8;2,6
09/09/2010;0,2;932,4;11,3;21,7;13,4;74,2;3,4
10/09/2010;0;932,3;12,1;24;14,4;73,2;3,8
11/09/2010;0;929,5;9;30;13;59,2;2,6
12/09/2010;0;927,4;8,3;30,3;15,2;44,9;1,8
13/09/2010;0;926,3;4,5;31,6;16,3;32,9;1,8
14/09/2010;0;925,3;2,9;30,3;21,5;23,3;3,4
15/09/2010;0;927,6;12,2;26,8;19,9;64,1;2,4
16/09/2010;0;927,6;13,8;24,1;14,8;81,1;3
17/09/2010;0;925,8;14,2;32,1;15,1;71,5;2,3
18/09/2010;0;931,4;11,8;18,2;14,3;78,5;3,2
19/09/2010;0;932,2;11;19,4;12,7;77,4;4
20/09/2010;0;929,2;12,8;23,5;14;79;3,4
21/09/2010;3,8;926,8;14,5;29,8;14,4;77,8;1,9
22/09/2010;15;925,7;14,8;31;16,2;70;2
23/09/2010;0;925,2;14,9;30,4;18,1;65,2;1,2
24/09/2010;0;925,6;15,5;24;17,4;79,5;2,3
25/09/2010;6,2;926,2;13,9;24,8;15,1;79;1,9
26/09/2010;4,8;925,5;15,3;20,3;15,2;87,8;2,4
27/09/2010;11;922,5;16,2;21,9;16,1;85,8;1,3
28/09/2010;39,8;920,8;16,2;22,8;16,6;87,8;1,2
29/09/2010;0;921,2;16,1;24,6;16,7;78,5;1
30/09/2010;0,4;922,7;17,8;25,1;19,6;81,4;2,3
01/10/2010;0;924,3;18;21,6;19,2;88,3;1,3
02/10/2010;11,2;925;17;23,4;18;85,9;2,2
03/10/2010;1,8;930,5;12,7;16,5;13,9;86,6;2,8
04/10/2010;1;928,5;13,4;18,9;13,7;86;2,8
05/10/2010;0;925,8;15,2;23,8;15,5;84;2
06/10/2010;0;925,5;14,2;29;14,7;75,1;2,4
07/10/2010;0;922,4;16;25,9;16,8;77,2;2,9
08/10/2010;18,2;923,3;10,9;24,6;17,6;58,8;4,6
09/10/2010;0,8;930,7;11,7;18,7;14,2;79,3;3,3
10/10/2010;0,2;931,9;9,9;18,6;12,3;73,8;2,9
11/10/2010;0,2;930,7;10,2;15,9;11,3;81,3;2,7
12/10/2010;0;930,9;6,9;19;10,6;65,2;2,8
13/10/2010;0;929;9,1;23,2;10,4;69,5;3,3
14/10/2010;0;927,4;13;28,4;13,6;73,3;2,8
15/10/2010;0,2;927,2;15,7;26,4;16,4;75,6;1,9
16/10/2010;3,4;925,8;16,4;30,2;18,6;69,8;1,8
17/10/2010;0;924,9;16,4;27,3;19,8;73,9;2,1
18/10/2010;8,4;924,5;14,8;20,3;16,6;83,6;2,4
19/10/2010;0,8;927;10,6;22,8;13,4;70,1;2,4
20/10/2010;0;926,7;9,3;24,8;11,9;63,9;2,5
21/10/2010;0;925,9;11,9;27,8;11,9;73,4;2,4
22/10/2010;0;924;14,9;31,3;15;78,9;2,7
23/10/2010;0;921,8;16,1;26,2;17,8;75,7;2,9
24/10/2010;0;923,6;16,3;21,8;17,8;81,9;1,9
25/10/2010;0;922,6;14,8;31;17,1;70,7;2,3
26/10/2010;9,2;922,2;14,6;23,5;17,1;79,9;2,7
27/10/2010;0;922,1;11,2;23,2;14,2;69,6;2,3
28/10/2010;0;922,4;10,9;29;13;64,4;2,7
29/10/2010;0;921,9;12,2;32,8;16;59,7;2,2
30/10/2010;0,2;921,2;15,2;22,2;18,5;74,5;2,4
31/10/2010;14,4;924;15,6;25,5;17,6;73,6;1,5
01/11/2010;0;925,5;15,2;23,5;18,7;76,4;1,7
02/11/2010;0;924,4;11,8;26,8;16,1;64,8;2
03/11/2010;0;923,7;13;27,8;15,8;66,9;2,6
04/11/2010;0;924,5;14,4;31,2;16;66,7;2,7
05/11/2010;0;922,5;14,6;30,9;19,3;57,8;2,4
06/11/2010;14,8;920;16,5;23,3;18,3;87,4;2,4
07/11/2010;1,6;923,3;13,8;27,6;14,5;74,6;2,2
08/11/2010;0;924,7;15,3;32,6;16,8;66,6;2,7
09/11/2010;0;923,1;14,3;32,5;20,5;51,2;2,5
10/11/2010;20,2;924,7;16,6;27;17,4;80,3;3,3
11/11/2010;0,6;929,3;12,9;17,7;14,6;83,8;2,9
12/11/2010;0;929,6;13;18,6;14,5;84;3
13/11/2010;0,2;928,7;13;18,4;14,2;84,8;3,3
14/11/2010;0;926,2;13,2;20,9;14,6;78,1;2,5
15/11/2010;0;925,4;13,7;25,9;16,4;72,1;2,4
16/11/2010;13,6;923,5;16,1;18,6;16,5;90,9;2,4
17/11/2010;12;921,4;16,1;26,8;16,6;81,8;1,7
18/11/2010;8,2;919,5;13;27,1;16,6;65,7;2,4
19/11/2010;0;920,9;10;30,5;15,4;51;2
20/11/2010;0;923,2;13,4;30,9;18;54,9;1,9
21/11/2010;0;922,6;13,8;31,9;20,2;52;1,6
22/11/2010;0;919,5;16,4;26,7;20,5;72,2;2,1
23/11/2010;11,6;918,5;18;23,6;19;86,3;2
24/11/2010;1,4;919,2;17,4;29,7;18,3;80,5;1,9
25/11/2010;0;920,1;17,3;30,7;19,2;77,3;2
26/11/2010;19,4;921,6;16,8;28,2;15,6;79,3;1,8
27/11/2010;0;922,7;15,8;28,4;17,6;69,8;1,9
28/11/2010;0;922,5;14,3;32,6;17,5;63,9;2,5
29/11/2010;0;921,4;16,8;31,4;19,7;66,8;3,3
30/11/2010;2;922,3;17,8;29,1;21,2;73,3;2,6
01/12/2010;24,6;923,6;18,6;28,9;19,1;80,5;2,4
02/12/2010;0;922,2;19;29,9;20,6;76,2;2,5
03/12/2010;4,8;921,8;19,5;31,2;21,3;75,5;2,4
04/12/2010;4;923,3;19,5;30,4;20,8;79,8;2,1
05/12/2010;0,2;922,5;19,4;31,1;20,4;80,7;2
06/12/2010;38,2;923,3;18,7;26,7;19,9;82;2,2
07/12/2010;1;920,9;19,5;29,1;19,9;81,4;2,1
08/12/2010;0;918,6;18,1;30,8;21,5;67,4;2,6
09/12/2010;5,6;920,2;17,5;26,4;19,9;74,5;2,8
10/12/2010;0;922,4;15,9;30;18,5;70,6;2,2
11/12/2010;0;921,8;18,6;32,6;20,2;75;2,2
12/12/2010;20,2;918,8;19,1;32,4;18,9;68,2;2,5
13/12/2010;22,2;916;18,8;28,8;20,4;80,2;2,4
14/12/2010;43,6;919,1;16,9;20,4;17,5;94,2;2,1
15/12/2010;31,2;923,2;16,9;20,7;16,7;92,5;2,5
16/12/2010;4;924,7;18,7;27,3;18;91,8;1,7
17/12/2010;26;923,1;18,2;29,3;19,6;77,1;2
18/12/2010;0,2;922,6;18,1;23;20,2;80,4;1,8
19/12/2010;4,2;923,2;18,2;30,2;19,9;72,3;1,6
20/12/2010;0;925,1;18,7;31,8;20,8;71,5;2,4
21/12/2010;2,4;925,6;18,7;32,3;21,8;71,7;1,5
22/12/2010;16,2;924,7;18,4;29;20,9;72,7;1,7
23/12/2010;18,8;922;18,5;26,1;18,1;84,1;1,9
24/12/2010;5,6;921,7;17,7;28,2;19,5;75,3;2,3
25/12/2010;0;921;18,3;30,1;19,3;72;2,2
26/12/2010;0;921,3;19,6;28,9;21,3;83,4;1,6
27/12/2010;48,2;921,7;18,5;24,9;19,5;84,9;1,8
28/12/2010;0;921;15,6;26,3;17;74;1,8
29/12/2010;0;920,4;14,3;28,1;15,9;69,1;2,3
30/12/2010;0;921;15,1;24,6;18,5;71,8;2,9
31/12/2010;0;921,2;15,3;25,6;17;70,8;2,5
01/01/2011;0;920,7;17,2;24,8;19,6;78,8;2,5
02/01/2011;32,2;919,3;18,8;20,9;18,7;96;0,9
03/01/2011;57,4;918,8;19;21,9;18,4;93,7;0,9
04/01/2011;29,2;919,1;19,7;26,8;19,6;89;1,4
05/01/2011;2,2;922,1;19,5;30,7;20,7;80,1;2,2
06/01/2011;24,6;923,9;19,1;29,2;19,7;80,5;2,3
07/01/2011;0,4;924,7;19;27,7;20,5;80,9;1,3
08/01/2011;5,4;924,6;19,2;29,1;20,4;85;1
09/01/2011;26,4;922,7;17,9;30,7;19,9;71,7;2,2
10/01/2011;0,8;919,8;18,5;29,4;21,4;71;2,2
11/01/2011;64;918,2;19,1;28,6;19,1;83,5;2,3
12/01/2011;55;918,4;19,6;28,1;19,3;82,3;2,4
13/01/2011;10,2;918,9;19,9;26,6;21,1;85,7;1,7
14/01/2011;1,2;921,2;19,8;27,9;20;86;1,5
15/01/2011;29;921,8;18,6;28,8;19,8;76,6;2
16/01/2011;0;921,5;18,6;30,6;20,4;75;2,3
17/01/2011;2,2;923,5;18,3;26,9;20,7;77,2;2,2
18/01/2011;5,2;923,3;18,5;31,1;20,1;75,3;1,4
19/01/2011;4,8;921,3;18,6;30,2;20,5;75,6;1,7
20/01/2011;5,8;921,7;19,1;28;19,8;79;1,4
21/01/2011;5,2;922,4;19,6;30,7;20,7;78,8;1,8
22/01/2011;0;924,1;19,4;32,1;20,8;75,8;1,9
23/01/2011;0;925,9;19,2;32,2;20,8;75,1;1,9
24/01/2011;99,2;926;19,3;32,5;18;78,6;1,7
25/01/2011;0;925,1;19,1;32,2;21,2;77,3;1,4
26/01/2011;24,8;924,6;19,2;32;19,3;76,1;1,6
27/01/2011;0;923,9;17,2;32,5;21,9;60,8;2
28/01/2011;0;924,4;15,5;33,3;22,2;50,7;1,8
29/01/2011;0;925,9;18;33,7;23,2;59,3;1,6
30/01/2011;0;926,4;17,8;33,6;22,4;62,6;1,8
31/01/2011;0;925,5;18,9;30,6;22,4;71,2;1,5
01/02/2011;1,8;925,2;16,5;27,3;20,9;64,2;2,4
02/02/2011;0;925,2;18,6;30,3;22,2;75;1,4
03/02/2011;14,6;925,3;19,1;24,9;20,1;84,7;1,4
04/02/2011;5,6;924,4;18,3;27,2;20,9;74,8;0,8
05/02/2011;0,4;923,3;17,5;33;20,5;63,2;1,4
06/02/2011;0;923,9;16,8;33,1;21,8;57,6;1,7
07/02/2011;0;925,7;18,5;31,8;22,2;67,2;1,9
08/02/2011;0,8;925,5;17,6;33;21,1;65,8;2,2
09/02/2011;0,2;923,2;15,8;32,4;21,8;53,6;2
10/02/2011;0;921,9;17,3;31,9;23,2;57,2;2,2
11/02/2011;0;924,6;16,1;31,8;22,8;57,4;2
12/02/2011;0;925,2;15,6;32,2;19,8;60,6;1,7
13/02/2011;0,2;924,1;15;31,3;22,2;52,1;1,7
14/02/2011;0;924,6;18,1;30,8;21,9;69,7;2
15/02/2011;13,2;924,7;19,6;27,3;20,1;86;1,5
16/02/2011;4,2;925,9;18,4;30;19,5;82,6;2,1
17/02/2011;35,6;926,7;17,4;28,9;18,7;76,8;1,8
18/02/2011;0,2;926,8;18,3;30;19;80;1,9
19/02/2011;2;925,9;18,4;30,9;20,6;72,8;1,9
20/02/2011;0;925,9;18,5;31,9;21;75,5;1,7
21/02/2011;40,4;926,6;18,6;32,4;16,3;78,4;1,2
22/02/2011;47,2;924,6;17,5;31,2;17,6;68,3;1,8
23/02/2011;3,2;922;18,6;30,2;20,4;75,3;2,1
24/02/2011;0,2;922,5;19;31,2;20,4;78;1,7
